1536818924,Get links,296000,171000,122,131,0,0
1536818924,Get links redirect,141000,79000,130,327,0,0
1536818925,Get links redirect,1203000,63000,130,84769,0,68239
1536818926,View listing,1000000,1,182,84597,0,81929
1536818927,View listing,1016000,1,184,83104,0,79170
1536818928,View listing,969000,1,187,81742,0,81603
1536818929,View listing,1015000,1,186,82708,0,78858
1536818930,View listing,922000,1,186,81983,0,86026
1536818931,View listing,1031000,1,185,83161,0,78073
1536818932,View listing,922000,1,187,83435,0,87600
1536818933,View listing,922000,1,186,81549,0,85554
1536818934,View listing,938000,1,187,84606,0,87355
1536818934,View listing,859000,1,188,82108,0,92480
1536818935,View listing,891000,1,188,84155,0,91456
1536818936,View listing,1078000,1,181,82720,0,74260
1536818937,View listing,906000,1,185,84677,0,90517
1536818938,View listing,953000,1,190,82744,0,84025
1536818939,View listing,906000,1,190,83040,0,88711
1536818940,View listing,907000,1,185,82487,0,88005
1536818941,View listing,906000,1,189,83930,0,89694
1536818942,View listing,937000,1,184,84693,0,87541
1536818943,View listing,1000000,1,188,81113,0,78446
1536818944,View listing,907000,1,190,84433,0,90148
1536818945,View listing,984000,1,184,82013,0,80636
1536818946,View listing,1141000,1,188,84549,0,71763
1536818947,View listing,859000,1,186,83713,0,94349
1536818948,View listing,891000,1,187,82396,0,89481
1536818949,View listing,875000,1,186,84136,0,93107
1536818949,View listing,968000,1,188,82622,0,82599
1536818950,View listing,907000,1,189,81248,0,86638
1536818951,View listing,859000,1,186,84324,0,95060
1536818952,Get links,3344000,3219000,123,132,0,0
1536818956,Get links redirect,93000,47000,131,328,0,0
1536818956,Get links redirect,672000,1,131,83652,0,120498
1536818956,View listing,844000,1,182,83212,0,95431
1536818957,View listing,1391000,1,187,83113,0,57833
1536818959,View listing,968000,1,185,78847,0,78697
1536818959,View listing,1047000,1,179,79309,0,73199
1536818961,View listing,891000,1,185,79458,0,86182
1536818961,View listing,969000,1,183,80931,0,80766
1536818962,View listing,968000,1,184,80470,0,80372
1536818963,View listing,1625000,1,189,80214,0,47720
1536818965,View listing,1375000,1,187,79804,0,56098
1536818966,View listing,922000,1,184,80011,0,83885
1536818967,View listing,875000,1,187,79166,0,87426
1536818968,View listing,875000,1,181,80659,0,89131
1536818969,View listing,1000000,1,186,79336,0,76668
1536818970,View listing,953000,1,183,79766,0,80899
1536818971,View listing,1109000,1,186,78927,0,68763
1536818972,View listing,938000,1,183,81788,0,84349
1536818973,View listing,937000,1,185,80360,0,82915
1536818974,View listing,906000,1,188,79180,0,84449
1536818975,View listing,1141000,1,182,79007,0,66904
1536818976,View listing,953000,1,186,81765,0,82996
1536818977,View listing,906000,1,187,80934,0,86387
1536818978,View listing,984000,1,188,79283,0,77860
1536818979,View listing,907000,1,190,80997,0,86360
1536818980,View listing,890000,1,190,81163,0,88196
1536818981,View listing,890000,1,184,79897,0,86773
1536818982,View listing,969000,1,190,82170,0,82044
1536818983,View listing,922000,1,187,81317,0,85302
1536818984,View listing,1000000,1,188,81740,0,79072
1536818985,Get links,281000,156000,120,129,0,0
1536818985,Get links redirect,125000,78000,128,325,0,0
1536818985,Get links redirect,594000,1,128,80373,0,130804
1536818986,View listing,843000,1,181,85580,0,98355
1536818986,View listing,938000,1,184,81938,0,84511
1536818987,View listing,984000,1,185,86234,0,84928
1536818988,View listing,1031000,1,182,85289,0,80138
1536818989,View listing,860000,1,184,83976,0,94547
1536818990,View listing,906000,1,183,85070,0,90953
1536818991,View listing,875000,1,186,86203,0,95472
1536818992,View listing,890000,1,187,84342,0,91770
1536818993,View listing,891000,1,185,83502,0,90726
1536818994,View listing,844000,1,184,82520,0,94614
1536818995,View listing,859000,1,187,85621,0,96571
1536818995,View listing,844000,1,187,83670,0,95976
1536818996,View listing,843000,1,182,82885,0,95160
1536818997,View listing,891000,1,187,84144,0,91445
1536818998,View listing,844000,1,182,85879,0,98593
1536818999,View listing,890000,1,188,85516,0,93091
1536819000,View listing,828000,1,186,82273,0,96143
1536819001,View listing,954000,1,189,82919,0,84038
1536819002,View listing,844000,1,187,84687,0,97182
1536819002,View listing,859000,1,188,84533,0,95305
1536819003,View listing,1172000,1,190,84055,0,69445
1536819004,View listing,985000,1,181,86102,0,84707
1536819005,View listing,890000,1,190,84056,0,91450
1536819006,View listing,766000,1,186,83261,0,105216
1536819007,View listing,890000,1,187,86619,0,94329
1536819008,View listing,797000,1,181,85920,0,104459
1536819009,View listing,891000,1,188,85231,0,92666
